song_popularity,song_duration_min,danceability,energy,key,loudness,audio_mode,speechiness,time_signature,tempo_category_numeric
73,4.372216666666667,0.496,0.682,8,-4.095,1,0.0294,4,4.0
66,3.61555,0.542,0.853,3,-6.407,0,0.0498,4,2.0
76,3.862216666666667,0.737,0.4629999999999999,0,-7.827999999999999,1,0.0792,4,4.0
74,3.61555,0.451,0.97,0,-4.938,1,0.107,4,4.0
56,3.7304333333333335,0.447,0.7659999999999999,10,-5.065,1,0.0313,4,5.0
80,3.93155,0.316,0.945,4,-3.169,0,0.124,4,5.0
81,3.33155,0.581,0.887,4,-3.659,0,0.0624,4,2.0
76,3.5633333333333335,0.613,0.953,2,-3.435,1,0.0855,4,2.0
80,3.709766666666667,0.33,0.936,1,-3.66,1,0.0917,4,4.0
81,3.3891,0.542,0.905,9,-5.653,1,0.054,4,4.0
78,2.8042166666666666,0.629,0.897,2,-3.401,1,0.0483,4,4.0
63,3.0931,0.496,0.863,9,-4.1530000000000005,1,0.0381,4,3.0
75,3.4877666666666665,0.647,0.964,9,-4.225,0,0.06,4,4.0
81,4.483333333333333,0.618,0.938,9,-3.442,1,0.0456,4,2.0
69,3.504,0.42,0.929,7,-3.899,0,0.121,4,4.0
77,3.9504333333333332,0.278,0.6759999999999999,9,-8.821,1,0.0371,4,2.0
71,3.787333333333333,0.659,0.778,11,-6.422999999999999,1,0.0379,4,3.0
62,4.276666666666666,0.37,0.944,1,-4.979,0,0.0767,4,4.0
77,3.1268833333333332,0.5670000000000001,0.795,9,-4.985,0,0.134,4,5.0
79,3.8988833333333335,0.545,0.865,11,-5.707999999999999,0,0.0286,4,2.0
69,3.8588833333333334,0.309,0.912,4,-3.881,0,0.0646,3,5.0
79,3.846,0.276,0.715,0,-5.356,1,0.0432,4,4.0
13,4.2511,0.518,0.5379999999999999,0,-5.818,1,0.0486,4,5.0
62,3.2611,0.58,0.981,8,-2.603,0,0.06,4,4.0
77,5.080666666666667,0.602,0.905,2,-4.046,1,0.0775,4,4.0
79,3.87555,0.657,0.291,2,-10.572,1,0.0293,4,2.0
28,5.065333333333333,0.44,0.932,3,-4.488,0,0.0584,4,4.0
78,2.9391,0.38,0.988,1,-2.042,1,0.0639,4,5.0
77,5.1851,0.217,0.905,2,-4.103,1,0.0752,4,2.0
71,3.5517666666666665,0.7140000000000001,0.725,4,-6.4110000000000005,1,0.0402,4,2.0
11,4.3788833333333335,0.5820000000000001,0.597,5,-5.671,1,0.0512,4,4.0
77,4.899333333333334,0.614,0.568,7,-5.477,0,0.0276,4,2.0
65,4.411766666666667,0.509,0.774,6,-4.053999999999999,1,0.0338,4,3.0
75,3.858,0.498,0.83,6,-5.157,0,0.0421,4,2.0
74,3.562666666666667,0.599,0.932,9,-3.3280000000000003,1,0.18,4,2.0
74,2.9711,0.574,0.911,9,-5.176,1,0.0715,4,2.0
11,4.48955,0.433,0.959,9,-4.04,1,0.0431,4,5.0
73,4.038,0.5489999999999999,0.93,5,-3.468,0,0.0487,4,3.0
74,3.366,0.6559999999999999,0.932,4,-3.405,0,0.0708,4,4.0
79,3.818216666666667,0.499,0.8240000000000001,7,-4.7410000000000005,1,0.0794,4,4.0
70,3.2228833333333333,0.624,0.899,0,-5.71,1,0.0295,4,2.0
60,4.715766666666667,0.545,0.753,3,-4.618,0,0.036,4,2.0
69,3.342433333333333,0.374,0.961,10,-4.421,0,0.0851,4,4.0
73,4.65355,0.695,0.8759999999999999,3,-4.262,0,0.0553,4,2.0
62,3.54555,0.246,0.768,9,-7.48,1,0.0387,4,5.0
72,4.270666666666667,0.563,0.86,8,-7.532999999999999,1,0.0621,4,2.0
57,3.242,0.391,0.831,2,-3.892,1,0.0613,4,4.0
71,3.4431,0.309,0.875,1,-4.49,1,0.0488,4,4.0
63,2.8946666666666667,0.535,0.948,6,-4.19,0,0.0356,4,2.0
64,3.5877666666666665,0.524,0.578,9,-4.563,1,0.12,4,4.0
71,4.515333333333333,0.4679999999999999,0.769,4,-7.0360000000000005,1,0.0409999999999999,4,2.0
61,2.9171,0.5920000000000001,0.932,6,-4.4910000000000005,0,0.0885,4,2.0
67,4.100666666666666,0.213,0.93,0,-4.478,1,0.0671,4,5.0
63,2.9384333333333332,0.2189999999999999,0.952,2,-3.621,1,0.176,1,3.0
72,4.6306666666666665,0.433,0.8540000000000001,9,-3.868,1,0.0483,4,2.0
71,3.973333333333333,0.509,0.843,1,-3.318,0,0.0488,3,4.0
70,3.45355,0.546,0.959,8,-4.664,1,0.0819999999999999,4,4.0
65,3.6333333333333333,0.408,0.965,2,-4.232,1,0.05,4,4.0
69,4.992216666666667,0.2689999999999999,0.853,7,-4.647,0,0.0854,4,4.0
66,4.1211,0.365,0.894,11,-4.682,0,0.0572,3,2.0
94,3.5061166666666668,0.818,0.54,6,-6.35,0,0.0544,4,2.0
98,3.5416666666666665,0.841,0.7979999999999999,1,-4.206,0,0.2289999999999999,4,2.0
59,3.088033333333333,0.83,0.497,1,-6.94,1,0.052,4,4.0
73,3.3205,0.687,0.7659999999999999,11,-6.08,1,0.054,4,2.0
94,3.0,0.638,0.7170000000000001,2,-4.722,1,0.0337,4,2.0
87,2.994883333333333,0.746,0.703,4,-4.178999999999999,0,0.107,4,4.0
73,3.9286666666666665,0.823,0.63,7,-3.932,1,0.0797,4,2.0
85,3.726383333333333,0.701,0.512,0,-6.869,0,0.0969,4,2.0
61,4.058116666666667,0.695,0.884,0,-6.279,1,0.131,4,1.0
58,3.5144166666666665,0.722,0.584,11,-8.467,0,0.318,4,5.0
92,3.4110666666666667,0.8,0.578,4,-5.144,0,0.0485,4,4.0
83,3.58585,0.8170000000000001,0.74,11,-4.566,0,0.283,4,4.0
57,3.3728833333333332,0.3979999999999999,0.66,1,-5.626,0,0.12,4,2.0
44,2.7122166666666665,0.812,0.748,5,-5.959,0,0.139,4,4.0
47,2.62435,0.659,0.7340000000000001,10,-4.008,1,0.046,4,4.0
54,2.84995,0.705,0.778,9,-4.101,0,0.177,4,4.0
47,3.1406666666666667,0.723,0.687,11,-4.632,0,0.2,4,5.0
64,4.228566666666667,0.928,0.402,8,-7.569,0,0.451,4,4.0
56,4.533333333333333,0.465,0.675,10,-7.555,1,0.0485,4,3.0
49,2.9,0.632,0.652,4,-10.558,1,0.0302,4,3.0
65,3.4928833333333333,0.471,0.179,9,-10.273,1,0.089,4,5.0
52,3.3792333333333335,0.871,0.545,0,-6.466,0,0.0625,4,2.0
61,2.966816666666667,0.8290000000000001,0.606,5,-7.093,1,0.149,4,3.0
65,2.82085,0.8370000000000001,0.649,11,-5.26,0,0.192,4,4.0
77,3.6804333333333332,0.8170000000000001,0.635,5,-5.718999999999999,0,0.138,4,2.0
95,3.6303666666666667,0.635,0.902,0,-3.559,1,0.109,4,2.0
95,4.223166666666667,0.816,0.726,5,-3.998,0,0.129,4,4.0
74,3.6275333333333335,0.815,0.626,6,-5.138999999999999,1,0.103,4,3.0
77,3.31825,0.7509999999999999,0.579,2,-4.0360000000000005,1,0.0321,4,2.0
45,3.0957166666666667,0.736,0.906,4,-1.49,0,0.0566,4,2.0
52,2.7708833333333334,0.695,0.818,6,-5.532,0,0.0482,4,2.0
38,3.9062166666666664,0.5429999999999999,0.847,9,-3.574,1,0.0659,4,2.0
46,3.230766666666667,0.841,0.841,9,-4.288,1,0.0633,4,2.0
44,3.48,0.777,0.546,7,-9.504,1,0.207,4,4.0
75,3.52395,0.84,0.789,1,-4.695,0,0.0949,4,2.0
75,3.3808833333333332,0.831,0.713,1,-3.646,0,0.094,4,4.0
45,3.306433333333333,0.825,0.481,2,-8.6,1,0.0396,4,4.0
53,3.7402166666666665,0.682,0.7509999999999999,8,-5.812,0,0.0675,4,4.0
38,3.6408,0.799,0.616,5,-4.599,0,0.0415,4,4.0
60,2.9450333333333334,0.921,0.965,1,-1.396,1,0.178,4,4.0
39,2.2186666666666666,0.703,0.617,7,-8.732000000000001,1,0.0731,4,4.0
88,3.3587666666666665,0.792,0.895,1,-3.112,0,0.0589,4,2.0
77,3.611483333333333,0.596,0.557,1,-7.522,0,0.134,5,4.0
68,3.7697166666666666,0.746,0.738,9,-3.67,1,0.207,4,2.0
46,3.5833833333333334,0.493,0.825,8,-4.056,1,0.0798,4,2.0
44,2.92065,0.836,0.725,7,-5.445,0,0.0571,4,4.0
37,2.6848833333333335,0.701,0.779,11,-4.657,0,0.0647,4,3.0
53,3.0370666666666666,0.871,0.563,10,-8.329,0,0.0795,4,2.0
65,3.59035,0.65,0.8009999999999999,7,-5.407,0,0.0723,4,4.0
68,3.266966666666667,0.784,0.437,5,-7.867999999999999,1,0.0509,4,2.0
59,3.40755,0.494,0.7290000000000001,2,-4.934,1,0.161,4,2.0
43,3.8173,0.561,0.58,5,-5.612,1,0.0414,4,2.0
53,3.1984333333333335,0.483,0.685,10,-3.232,0,0.174,4,5.0
54,3.9643333333333333,0.62,0.823,5,-2.436,1,0.0567,4,5.0
84,3.6214666666666666,0.7040000000000001,0.8590000000000001,5,-4.877,0,0.0996,4,2.0
44,3.3762333333333334,0.633,0.765,1,-5.732,1,0.0474,4,2.0
40,2.79705,0.853,0.7140000000000001,7,-6.1770000000000005,1,0.0767,4,2.0
41,4.018916666666667,0.8,0.8370000000000001,7,-4.488,1,0.099,4,2.0
37,3.2335166666666666,0.743,0.7929999999999999,2,-5.032,0,0.0546,4,3.0
79,3.93555,0.6459999999999999,0.77,2,-6.596,0,0.226,4,2.0
74,4.454433333333333,0.8909999999999999,0.7140000000000001,4,-6.055,0,0.14,4,2.0
10,4.032216666666667,0.745,0.6659999999999999,9,-5.899,1,0.0566,4,4.0
60,3.31355,0.774,0.847,5,-3.925,0,0.121,4,4.0
70,5.0004333333333335,0.672,0.8320000000000001,11,-2.388,0,0.342,4,3.0
79,4.172883333333333,0.894,0.7909999999999999,2,-4.699,1,0.1119999999999999,4,2.0
84,3.6348833333333332,0.778,0.8240000000000001,10,-5.892,0,0.0712,4,2.0
77,3.6111,0.675,0.885,1,-4.432,0,0.0436,4,2.0
84,3.993333333333333,0.733,0.71,5,-5.849,0,0.0292,4,4.0
74,4.100433333333333,0.775,0.7190000000000001,7,-6.212000000000001,0,0.0435,4,3.0
73,3.37555,0.421,0.873,10,-4.343,1,0.0565,4,2.0
85,4.492666666666667,0.422,0.264,8,-7.064,1,0.0322,4,3.0
78,4.332216666666667,0.4679999999999999,0.64,0,-5.862,1,0.0275,4,2.0
78,3.854,0.613,0.622,1,-5.794,0,0.0334,4,2.0
69,4.099333333333333,0.435,0.92,4,-1.357,0,0.201,4,5.0
75,3.1493333333333333,0.662,0.741,0,-5.406000000000001,1,0.0334,4,4.0
76,3.9202166666666667,0.728,0.974,4,-2.261,0,0.0665,4,2.0
71,3.3282166666666666,0.755,0.8320000000000001,2,-2.741,0,0.1159999999999999,4,4.0
71,3.7322166666666665,0.764,0.6940000000000001,11,-5.745,0,0.1889999999999999,4,4.0
77,4.04555,0.967,0.583,7,-5.562,0,0.0789,4,3.0
69,4.2026666666666666,0.659,0.696,3,-4.291,1,0.071,4,2.0
76,4.3571,0.63,0.698,10,-4.51,1,0.0244,4,2.0
65,3.952,0.8240000000000001,0.743,2,-5.995,1,0.141,4,4.0
73,3.34,0.61,0.926,8,-4.843,0,0.0479,4,5.0
77,4.0751,0.585,0.7759999999999999,5,-5.898,1,0.0459,4,2.0
80,4.278883333333333,0.6559999999999999,0.578,7,-8.97,0,0.0922,4,2.0
73,3.976,0.457,0.573,5,-3.866,0,0.0275,4,2.0
54,3.3884333333333334,0.701,0.7,7,-4.934,1,0.0876,4,4.0
75,3.4026666666666667,0.581,0.963,11,-4.087,1,0.0981,4,4.0
69,3.300883333333333,0.7290000000000001,0.7709999999999999,4,-2.451,1,0.0725,4,4.0
79,4.230216666666666,0.649,0.552,1,-5.419,0,0.0292,4,2.0
67,3.4,0.487,0.9,0,-4.417,1,0.0482,4,4.0
76,3.74,0.7240000000000001,0.695,11,-5.226,1,0.0622,4,4.0
75,4.2051,0.6709999999999999,0.939,8,-3.2060000000000004,1,0.161,4,4.0
72,3.2202166666666665,0.426,0.584,1,-5.292999999999999,1,0.296,4,5.0
81,4.374433333333333,0.638,0.6559999999999999,5,-5.886,1,0.0357,4,2.0
63,4.03355,0.8140000000000001,0.899,1,-5.957999999999999,1,0.0637,4,3.0
77,4.313766666666667,0.583,0.7859999999999999,2,-3.142,0,0.0301,4,4.0
78,4.5084333333333335,0.843,0.805,4,-5.946000000000001,0,0.2689999999999999,4,2.0
72,3.532,0.711,0.7,1,-4.805,0,0.046,4,4.0
62,4.234,0.524,0.904,8,-2.071,1,0.3979999999999999,4,4.0
77,3.5193333333333334,0.7509999999999999,0.8340000000000001,1,-5.444,0,0.0437,4,2.0
77,4.80555,0.624,0.653,8,-6.582000000000001,0,0.176,4,1.0
77,4.140216666666666,0.794,0.8109999999999999,6,-8.966000000000001,0,0.038,4,3.0
75,4.158883333333334,0.68,0.687,9,-6.162000000000001,0,0.0709,4,4.0
78,3.3964333333333334,0.944,0.511,5,-10.96,0,0.161,4,3.0
77,4.322216666666667,0.706,0.8009999999999999,5,-6.332999999999999,1,0.0399,4,2.0
74,3.6893333333333334,0.53,0.422,5,-6.2620000000000005,1,0.0342,4,3.0
65,3.586,0.535,0.8859999999999999,11,-3.1060000000000003,1,0.045,4,4.0
76,3.2693333333333334,0.7929999999999999,0.8320000000000001,1,-4.862,0,0.0406,4,2.0
69,4.080433333333334,0.655,0.488,1,-9.17,1,0.22,4,2.0
67,3.2071,0.636,0.873,0,-4.672,0,0.071,4,4.0
77,3.724,0.662,0.507,5,-8.238,1,0.118,4,2.0
81,3.3891,0.542,0.905,9,-5.653,1,0.054,4,4.0
52,3.6986666666666665,0.555,0.923,0,-5.908,1,0.0482,4,3.0
60,3.93955,0.591,0.6990000000000001,8,-5.221,1,0.0449,4,3.0
65,4.214216666666666,0.396,0.629,9,-4.78,1,0.0287,4,5.0
69,3.61,0.56,0.959,7,-2.4330000000000003,1,0.102,4,4.0
76,3.5033333333333334,0.653,0.609,11,-7.519,0,0.037,3,2.0
79,3.846,0.276,0.715,0,-5.356,1,0.0432,4,4.0
83,4.37555,0.64,0.743,10,-4.08,1,0.0379,4,4.0
69,3.642,0.63,0.894,10,-4.592,1,0.0544,4,4.0
73,3.3324333333333334,0.519,0.7490000000000001,6,-3.318,0,0.0405,4,4.0
72,4.980883333333334,0.64,0.889,2,-3.073,1,0.322,4,2.0
31,3.7491,0.815,0.8079999999999999,6,-4.614,1,0.0511,4,3.0
81,3.8117666666666667,0.609,0.445,7,-9.129,1,0.106,3,3.0
67,3.489333333333333,0.551,0.696,2,-6.192,1,0.0265,4,3.0
76,4.030883333333334,0.3379999999999999,0.8029999999999999,8,-5.412000000000001,0,0.0413,4,4.0
63,3.693766666666667,0.517,0.598,6,-3.751,0,0.263,4,2.0
75,3.6582166666666667,0.583,0.584,5,-5.362,0,0.0314,4,4.0
67,3.1944333333333335,0.8059999999999999,0.902,11,-3.387,0,0.0475,4,4.0
73,2.9182166666666665,0.494,0.939,1,-3.127,1,0.126,4,5.0
63,3.6293333333333333,0.423,0.862,0,-5.13,0,0.0695,4,4.0
68,3.9,0.871,0.597,5,-4.932,0,0.0464,4,4.0
73,3.9028833333333335,0.584,0.7,6,-4.251,1,0.0506,4,4.0
64,3.4142166666666665,0.423,0.922,3,-2.602,1,0.0411,4,4.0
67,3.442,0.423,0.94,1,-4.012,0,0.0635,4,4.0
78,4.160433333333334,0.647,0.7290000000000001,5,-6.251,1,0.0236,4,2.0
48,3.7,0.521,0.431,0,-9.74,1,0.0293,4,2.0
68,4.186,0.65,0.879,8,-3.176,1,0.0328,4,2.0
24,4.58755,0.82,0.7170000000000001,8,-6.191,1,0.0722,4,2.0
67,3.4577666666666667,0.7559999999999999,0.8,5,-5.158,1,0.0329,4,3.0
29,3.6117666666666666,0.7509999999999999,0.731,6,-4.419,0,0.0308,4,2.0
66,3.59155,0.7190000000000001,0.809,1,-10.201,1,0.0511,4,2.0
63,4.45,0.8109999999999999,0.88,8,-2.972,1,0.0628,4,4.0
71,4.056883333333333,0.723,0.777,7,-3.503,1,0.108,4,2.0
71,3.3131,0.6990000000000001,0.917,0,-4.897,1,0.115,4,4.0
59,4.21555,0.782,0.8740000000000001,2,-7.157,1,0.0474,4,4.0
66,3.8813333333333335,0.585,0.977,1,-3.57,1,0.0615,4,4.0
58,3.3219333333333334,0.7440000000000001,0.601,10,-5.2410000000000005,1,0.0349,4,4.0
11,4.626666666666667,0.5660000000000001,0.911,4,-9.458,0,0.0791,4,5.0
61,2.735333333333333,0.5479999999999999,0.688,7,-6.053,1,0.0372,4,5.0
84,3.6348833333333332,0.778,0.8240000000000001,10,-5.892,0,0.0712,4,2.0
77,3.1573333333333333,0.774,0.687,11,-4.8180000000000005,0,0.0584,4,2.0
74,4.245333333333333,0.8029999999999999,0.56,1,-6.912000000000001,0,0.0398,4,4.0
70,3.99,0.82,0.937,5,-4.81,0,0.0551,4,4.0
56,4.542433333333333,0.696,0.728,7,-6.937,1,0.034,4,4.0
80,3.8033333333333332,0.659,0.802,2,-4.79,1,0.148,4,5.0
54,3.386216666666667,0.6709999999999999,0.884,6,-9.267,0,0.0586,4,3.0
77,3.21,0.857,0.8009999999999999,0,-6.499,1,0.0618,4,2.0
51,3.548216666666667,0.542,0.7140000000000001,2,-8.045,1,0.0279999999999999,4,4.0
62,4.158433333333333,0.927,0.721,8,-12.561,1,0.0908,4,2.0
57,2.8788833333333335,0.348,0.7509999999999999,0,-12.823,1,0.0494,4,4.0
4,5.326,0.522,0.526,2,-6.361000000000001,1,0.0259,4,2.0
56,4.3693333333333335,0.779,0.631,2,-5.314,1,0.115,4,2.0
65,3.533333333333333,0.748,0.835,7,-5.731,1,0.0351,4,4.0
7,3.978,0.815,0.757,2,-5.351,1,0.165,4,4.0
73,4.052666666666667,0.425,0.954,1,-3.756,0,0.0476,4,5.0
7,3.0326666666666666,0.7070000000000001,0.408,5,-12.776,0,0.0366,4,4.0
52,2.657766666666667,0.66,0.504,0,-13.087,0,0.0496,4,2.0
7,4.286883333333333,0.507,0.423,2,-14.187,0,0.0332,4,2.0
41,3.4811,0.613,0.489,11,-13.509,0,0.0503,4,4.0
63,4.388433333333333,0.5429999999999999,0.903,11,-6.658,0,0.039,4,4.0
68,5.023766666666667,0.691,0.805,2,-6.81,0,0.0947,3,4.0
50,3.0591,0.5760000000000001,0.698,0,-5.181,1,0.0321,4,2.0
60,3.4204333333333334,0.545,0.59,9,-7.257000000000001,0,0.0813,3,2.0
42,3.23,0.57,0.301,7,-13.845999999999998,1,0.0518,4,3.0
50,3.2588833333333334,0.39,0.263,2,-6.851,1,0.0394,1,2.0
40,2.1397666666666666,0.337,0.55,9,-5.814,1,0.0502,4,5.0
57,3.0371,0.514,0.83,2,-8.666,1,0.0391,4,4.0
78,4.013333333333334,0.4379999999999999,0.805,8,-6.237,1,0.0624,4,3.0
69,3.3117666666666667,0.397,0.785,2,-9.168,0,0.0545,4,2.0
48,3.7124333333333333,0.735,0.82,2,-8.554,1,0.0494,4,4.0
63,2.22,0.597,0.5539999999999999,11,-14.144,0,0.0425,4,3.0
71,5.053333333333334,0.547,0.58,2,-13.415,0,0.0293,4,3.0
71,2.23755,0.573,0.939,8,-6.441,1,0.0808,4,4.0
70,2.48955,0.55,0.8540000000000001,3,-5.968,1,0.036,4,4.0
71,2.9822166666666665,0.619,0.603,9,-9.481,1,0.0342,4,4.0
61,2.7244333333333333,0.51,0.893,9,-9.267,1,0.0342,4,4.0
75,2.56155,0.653,0.519,2,-10.164,1,0.0497,4,2.0
81,2.346216666666667,0.64,0.6629999999999999,0,-7.516,1,0.0374,4,4.0
67,3.548216666666667,0.439,0.737,2,-12.054,1,0.115,4,4.0
70,4.521333333333334,0.295,0.584,9,-6.696000000000001,0,0.0345,3,3.0
68,2.75635,0.623,0.7090000000000001,1,-9.818,0,0.0636,4,4.0
61,3.2248833333333335,0.735,0.52,11,-6.18,1,0.0371,4,3.0
56,3.4777666666666667,0.412,0.59,11,-12.277,1,0.0701,4,2.0
59,3.9711,0.7040000000000001,0.528,5,-13.382,1,0.0358,4,3.0
71,2.8468833333333334,0.5329999999999999,0.905,2,-5.27,1,0.0754,4,3.0
73,2.7062166666666667,0.552,0.616,1,-9.785,0,0.0346,4,3.0
65,3.8226666666666667,0.452,0.818,2,-8.124,1,0.0439,4,4.0
68,2.8991,0.491,0.8009999999999999,4,-9.835,1,0.0361,4,4.0
69,3.0157166666666666,0.537,0.716,2,-8.766,1,0.038,4,4.0
54,3.0813333333333333,0.436,0.375,6,-13.856,1,0.0284,4,2.0
66,2.9388833333333335,0.816,0.514,10,-8.741,1,0.0339,4,4.0
58,3.3633333333333333,0.556,0.161,11,-13.944,1,0.0297,4,4.0
52,2.5151,0.252,0.507,2,-13.337,1,0.0442,4,5.0
60,2.562666666666667,0.5329999999999999,0.638,4,-7.13,1,0.0341,4,4.0
72,4.166666666666667,0.684,0.481,2,-12.59,1,0.0384,4,3.0
13,2.002883333333333,0.599,0.7040000000000001,8,-8.566,0,0.243,4,5.0
30,3.120216666666667,0.6990000000000001,0.6409999999999999,2,-7.564,1,0.0289,4,4.0
37,3.7817666666666665,0.456,0.514,7,-9.733,0,0.053,4,4.0
74,2.4291,0.49,0.715,7,-5.549,1,0.0476,4,4.0
64,2.86,0.364,0.607,2,-9.791,1,0.125,4,2.0
38,2.3746666666666667,0.551,0.954,7,-2.844,1,0.0814,4,4.0
51,3.5813333333333333,0.36,0.757,3,-6.832000000000001,1,0.0405,4,2.0
63,2.6717666666666666,0.423,0.6809999999999999,10,-9.756,1,0.0397,4,3.0
21,3.657766666666667,0.6,0.897,3,-7.275,1,0.0477,4,4.0
62,3.312883333333333,0.507,0.847,1,-5.987,0,0.0411,4,2.0
69,2.914,0.504,0.578,4,-9.302,1,0.031,4,4.0
53,4.848883333333333,0.528,0.514,2,-11.909,1,0.133,4,4.0
63,2.4648833333333333,0.494,0.6659999999999999,9,-9.743,0,0.0351,4,4.0
66,2.0971,0.552,0.742,0,-7.962999999999999,1,0.0454,4,4.0
67,3.408,0.505,0.836,5,-7.383999999999999,0,0.1009999999999999,4,4.0
70,3.6504333333333334,0.396,0.473,10,-7.67,0,0.0345,4,4.0
55,3.09205,0.346,0.75,11,-6.619,1,0.103,4,4.0
74,2.0944333333333334,0.332,0.179,5,-11.83,1,0.0326,4,2.0
